trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_drop_off_window,end_pickup_drop_off_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_5729835_b_81456_tn_0,,,213,33,,0,0,23425.7760585357,0,,,,,1,1,,,,,,,,,,,
t_5729835_b_81456_tn_0,15:44:00,15:44:00,214,34,,0,0,24919.297084307,1,,,,,1,1,,,,,,,,,,,
t_5729835_b_81456_tn_0,,,215,35,,0,0,25162.9703629163,0,,,,,1,1,,,,,,,,,,,
t_5729835_b_81456_tn_0,,,216,36,,0,0,25355.0108190455,0,,,,,1,1,,,,,,,,,,,
t_5729835_b_81456_tn_0,,,217,37,,0,0,26580.4895245348,0,,,,,1,1,,,,,,,,,,,
t_5729835_b_81456_tn_0,15:46:00,15:46:00,218,38,,0,0,27632.393936896,1,,,,,1,1,,,,,,,,,,,
t_5729835_b_81456_tn_0,,,219,39,,0,0,28305.243476607,0,,,,,1,1,,,,,,,,,,,
t_5729835_b_81456_tn_0,,,220,40,,0,0,28683.7151754308,0,,,,,1,1,,,,,,,,,,,
t_5729835_b_81456_tn_0,,,221,41,,0,0,29039.5367154562,0,,,,,1,1,,,,,,,,,,,
t_5729835_b_81456_tn_0,,,222,42,,0,0,29525.6709153541,0,,,,,1,1,,,,,,,,,,,
t_5729835_b_81456_tn_0,15:52:00,15:52:00,224,43,,0,0,30787.3032147077,1,,,,,1,1,,,,,,,,,,,
t_5729835_b_81456_tn_0,,,225,44,,0,0,31048.6682684477,0,,,,,1,1,,,,,,,,,,,
t_5729835_b_81456_tn_0,,,226,45,,0,0,31343.6240730332,0,,,,,1,1,,,,,,,,,,,
t_5729835_b_81456_tn_0,,,227,46,,0,0,31631.9858545078,0,,,,,1,1,,,,,,,,,,,
t_5729835_b_81456_tn_0,,,228,47,,0,0,32017.2554428906,0,,,,,1,1,,,,,,,,,,,
